Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0362817338745931,0.00305496700238872,0.00012652308364822,0,0,0,0.100729456637226,3.4903252403848E-05,3.96057729338568E-06,3.90665622578165E-06,8.05762092877759E-05,-1.48869914829573E-06,5.43177642836552E-05,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/base_link.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/base_link.STL,,05_palm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
CMC_joint,-0.00771367823748027,0.00183231505544754,-0.00219639202089756,0,0,0,0.00125785735605691,3.83658914941671E-08,2.36460489065714E-09,-1.03477166087723E-08,6.98856638200257E-08,4.39609465963975E-09,6.35623703634476E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/CMC_joint.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/CMC_joint.STL,,00_CMC_thumb_linkage-1,thumb_based,thumb0,F1J1,revolute,-0.0287119473549832,-0.00852444239874984,0.0205754013367985,1.6609493542778,0.89646815577158,1.20388201170241,base_link,0,0,-1,1000,1000,-1.83,1,,,,,,,,
CMC_2rd,-0.0134830077074653,0.000922867497252785,0.00666084414044431,0,0,0,0.00526815598427129,1.98041865895015E-07,-2.04696420847067E-09,1.36339106542372E-07,5.57505650011452E-07,5.09367453567155E-09,4.90755198783683E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/CMC_2rd.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/CMC_2rd.STL,,00_worm_gear_thumb_0-1,Origin_thumb_joint_0,thumb1,F1J2,revolute,-0.0145598308576187,0.00383358648575016,-0.00576550871894678,-0.0914928971126661,-0.705739837158521,-0.493269803017064,CMC_joint,0,1,0,1000,1000,-0.47,1.73,,,,,,,,
MCP_thumb,-0.0127840160194441,0.00137060752652221,-1.60835271583726E-05,0,0,0,0.00451776533982589,1.22993633397689E-07,-9.34843505762833E-10,3.60535709302834E-10,3.89429239539063E-07,-1.24481110371496E-11,3.80198753757361E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_thumb.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_thumb.STL,,00_worm_gear_thumb_1-1,Origin_thumb_joint_1,thumb2,F1J3,revolute,-0.030766,-5.5784E-05,0.012586,0.33819,0.32765,7.0074E-05,CMC_2rd,0,0,-1,1000,1000,-1.83,0.52,,,,,,,,
IP_thumb,-0.0087334,0.0011845,0.00023663,0,0,0,0.0032446,8.4532E-08,-2.2214E-09,3.7893E-10,1.5393E-07,-5.1545E-11,1.5756E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/IP_thumb.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/IP_thumb.STL,,00_tipmount_thumb-1,Origin_thumb_joint_2,thumb3,F1J4,revolute,-0.0289946553564469,0.000556723643987157,-0.000250000742295356,0,0,-0.0191986217719369,MCP_thumb,0,0,-1,1000,1000,-1.74,0.61,,,,,,,,
fingertip_thumb,0.0066049,0.00028788,1.5879E-06,0,0,0,0.0014852,3.7035E-08,1.4632E-09,-1.0485E-12,2.9544E-08,-1.5545E-12,2.9178E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_thumb.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_thumb.STL,,00_tip_thumb-1,Origin_thumb_joint_3,Axis_thumb_fingertip_fixed,thumb_fingertip_fixed,fixed,-0.0293000002212205,0.00105000183074177,0.000250000081465665,0,0,0,IP_thumb,0,0,0,,,,,,,,,,,,
MCP_joint_index,-0.000319915345639632,0.0013292473539805,-6.02704366969853E-09,0,0,0,0.000379035353628356,9.06832631392797E-09,-2.97882532906538E-09,4.85702461963548E-14,9.76761312855595E-09,3.96398496940897E-14,8.49904595332904E-09,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_index.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_index.STL,,01_MCP_joint_index-1,index_based,index0,F2J1,revolute,-0.0919165306699503,0.00587008921482919,0.0294338632809185,0.219360935022254,0.123470682741789,-0.0454105657545556,base_link,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
PIPMCP_2rd_index,-0.0174056343115065,0.00607488397988235,7.02482116618497E-06,0,0,0,0.00657987209047657,1.7465205113407E-07,-3.15693138574795E-08,2.88424518328892E-10,9.45057722967349E-07,1.65534905120413E-11,9.50286012403269E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_index.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_index.STL,,01_worm_gear_index_0-1,Origin_index_joint_0,index1,F2J2,revolute,-0.00400000572579078,-0.00220000016539656,0,0,0,0,MCP_joint_index,0,-1,0,1000,1000,-0.52,0.52,,,,,,,,
DIP_index,-0.015509,0.0011228,4.7032E-06,0,0,0,0.0045089,1.2298E-07,9.5176E-09,-3.4196E-10,3.9711E-07,4.8839E-12,3.8791E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_index.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_index.STL,,01worm_gear_index_1-1,Origin_index_joint_1,index2,F2J3,revolute,-0.0366176824738114,0.00460000000550533,1.55808514892761E-05,0,0.000433200557103518,0,PIPMCP_2rd_index,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
tipmount_index,-0.00535172524642188,0.00089436496945188,1.70711126226131E-05,0,0,0,0.00137453055479477,4.05616296493333E-08,1.59318598079109E-09,-8.52615637488302E-11,4.97882764363257E-08,-8.94156273384709E-12,3.5113134946145E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_index.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_index.STL,,01_tipmount_index-1,Origin_index_joint_2,index3,F2J4,revolute,-0.0290000000150093,0,0,0.000268594994177152,0,0,DIP_index,0,0,1,1000,1000,-0.52,1.74,,,,,,,,
fingertip_index,0.00986632612758262,0.000242707786630898,-4.82080605827828E-06,0,0,0,0.00199522849792143,4.72379097011826E-08,2.39112277288104E-09,1.69309900729916E-11,5.39285646069128E-08,7.66841379098212E-13,5.31235878371183E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_index.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_index.STL,,01_tip_index-1,Origin_index_joint_3,Axis_index_fingertip_fixed,index_fingertip_fixed,fixed,-0.0267000004409279,0.00104999554055549,0,0,0,0,tipmount_index,0,0,0,,,,,,,,,,,,
MCP_joint_middle,-0.000319986440870293,0.00132924961618549,2.64397394507745E-08,0,0,0,0.000379026804644953,9.06823623278671E-09,-2.97885670449321E-09,7.91952968540631E-14,9.76751641414407E-09,4.99563335618183E-14,8.49899334520404E-09,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_middle.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_middle.STL,,02_MCP_joint_middle-1,middle_based,middle0,F3J1,revolute,-0.0895435117703842,0.0104597238611381,0.00746146014384912,-0.000581649931470466,0,-0.0872664772858757,base_link,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
PIPMCP_2rd_middle,-0.0174056342595395,0.00607488445872796,7.02692052072153E-06,0,0,0,0.00657987205231713,1.74652044557727E-07,-3.15693167149104E-08,2.88428960333597E-10,9.45057745600407E-07,1.65899504968349E-11,9.50286007732317E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_middle.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_middle.STL,,02_worm_gear_middle_0-1,Origin_middle_joint_0,middle1,F3J2,revolute,-0.00400000560823693,-0.00220000049330705,0,0,0,0,MCP_joint_middle,0,-1,0,1000,1000,-0.52,0.52,,,,,,,,
DIP_middle,-0.0155093917108602,0.0011227921077806,4.7178197170256E-06,0,0,0,0.00450884845157686,1.22978069443671E-07,9.51784776119409E-09,-3.4206580561171E-10,3.97108495741243E-07,5.4409956538135E-12,3.87914531389682E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_middle.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_middle.STL,,02_worm_gerar_middle_1-1,Origin_middle_joint_1,middle2,F3J3,revolute,-0.0366176824738062,0.00460000000550358,1.55808609508257E-05,0,0.000433200815469852,0,PIPMCP_2rd_middle,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
tipmount_middle,-0.0053517,0.00089435,1.7077E-05,0,0,0,0.0013745,4.0562E-08,1.5933E-09,-8.5268E-11,4.9788E-08,-8.7813E-12,3.5113E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_middle.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_middle.STL,,02_tipmount_middle-1,Origin_middle_joint_2,middle3,F3J4,revolute,-0.02900000001501,0,0,0.000268594994184729,0,0,DIP_middle,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
fingertip_middle,0.00986638359121364,0.000242762610506316,-4.82391756106981E-06,0,0,0,0.00199520868827841,4.72376609188702E-08,2.39144459535487E-09,1.72654134777292E-11,5.39280650546202E-08,9.82832195511379E-13,5.31222348014556E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_middle.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_middle.STL,,02_tip_middle-1,Origin_middle_joint_3,Axis_fingertip_middle_fixed,fingertip_middle_fixed,fixed,-0.0267000004204019,0.00104999549760285,0,0,0,0,tipmount_middle,0,0,0,,,,,,,,,,,,
MCP_joint_ring,-0.00031999918604278,0.00132924338232786,3.2850746424333E-08,0,0,0,0.000379025355832582,9.06823252983838E-09,-2.97884887246427E-09,6.65103640804393E-14,9.76748699064776E-09,4.64936659994173E-14,8.49897500230578E-09,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_ring.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_ring.STL,,03_MCP_joint_ring-1,ring_based,ring0,F4J1,revolute,-0.084429,0.0076649,-0.013712,-0.047172,-0.094201,-0.079087,base_link,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
PIPMCP_2rd_ring,-0.0174056342214865,0.00607488384657669,7.02737726518236E-06,0,0,0,0.00657987216683894,1.74652051234683E-07,-3.15693177401151E-08,2.8842952520371E-10,9.45057727225164E-07,1.65999842364779E-11,9.50286004918523E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_ring.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_ring.STL,,03_worm_gear_ring_0-1,Origin_ring_joint_0,ring1,F4J2,revolute,-0.004,-0.0022,0,0,0,0,MCP_joint_ring,0,-1,0,1000,1000,-0.52,0.52,,,,,,,,
DIP_ring,-0.0155093918610879,0.00112278782586408,4.73413024819173E-06,0,0,0,0.00450885216725925,1.22978124780883E-07,9.51793054890693E-09,-3.42239631462505E-10,3.97108869387128E-07,5.91935003171753E-12,3.87914639814856E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_ring.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_ring.STL,,03_worm_gear_ring_1-1,Origin_ring_joint_1,ring2,F4J3,revolute,-0.036618,0.0046,1.5581E-05,0,0.0004332,0,PIPMCP_2rd_ring,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
tipmount_ring,-0.005351729511095,0.000894346509790563,1.7086589808514E-05,0,0,0,0.00137452817416282,4.05615773264179E-08,1.59325139312679E-09,-8.52976180898049E-11,4.97881352950525E-08,-8.71857160822335E-12,3.51132029919713E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_ring.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_ring.STL,,03_tipmount_ring-1,Origin_ring_joint_2,ring3,F4J4,revolute,-0.029,0,0,0.00026859,0,0,DIP_ring,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
fingertip_ring,0.00986639024726599,0.000252316961107007,1.72931873365992E-06,0,0,0,0.00199520894508364,4.72377154106638E-08,2.39155799699115E-09,1.72803398130845E-11,5.3927900693216E-08,7.83709775287707E-13,5.31224375663837E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_ring.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_ring.STL,,03_tip_ring-1,Origin_ring_joint_3,,fingertip_ring_fixed,fixed,-0.0267,0.0010404,0,0,0,0,tipmount_ring,0,0,0,0,0,0,0,,,,,,,,
MCP_joint_pinky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_pinky.STL,1,1,1,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/MCP_joint_pinky.STL,,04_MCP_joint_pinky-1,pinky_based,pinky0,F5J1,revolute,-0.0742813381427243,0.00226865106058523,-0.0340011106648663,-0.160365374712629,-0.204586980120563,-0.0608219010949235,base_link,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
PIPMCP_2rd_pinky,-0.0174056341673092,0.00607488611667895,7.02946114356992E-06,0,0,0,0.00657987169240391,1.74652025935675E-07,-3.1569308910913E-08,2.88433493885074E-10,9.4505778817037E-07,1.66296742783843E-11,9.50285978684713E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_pinky.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/PIPMCP_2rd_pinky.STL,,04_worm_gear_pinky_0-2,Origin_pinky_joint_0,pinky1,F5J2,revolute,-0.0040000052819367,-0.00220000069793736,0,0,0,0,MCP_joint_pinky,0,-1,0,1000,1000,-0.52,0.52,,,,,,,,
DIP_pinky,-0.0155093893464535,0.00112278799226154,4.74866655756495E-06,0,0,0,0.00450885769445445,1.22978219289757E-07,9.51793774050059E-09,-3.42438036566865E-10,3.97109552000592E-07,6.27165212807384E-12,3.87914797407966E-07,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_pinky.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/DIP_pinky.STL,,04_worm_gear_pinky_1-2,Origin_pinky_joint_1,pinky2,F5J3,revolute,-0.0366176824738007,0.00460000000550368,1.55808781511432E-05,0,0.00043320128520894,0,PIPMCP_2rd_pinky,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
tipmount_pinky,-0.00535172413896925,0.000894357087703209,1.70918996228002E-05,0,0,0,0.00137453094684671,4.05616278583377E-08,1.59322067531226E-09,-8.53268008082692E-11,4.97883297247661E-08,-8.7378366094725E-12,3.51131528512837E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_pinky.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/tipmount_pinky.STL,,04_tipmount_pinky-1,Origin_pinky_joint_2,pinky3,F5J4,revolute,-0.0290000000150085,0,0,0.000268594994171455,0,0,DIP_pinky,0,0,1,1000,1000,-0.52,1.83,,,,,,,,
fingertip_pinky,0.00986639457822258,0.000242721364652409,-4.80509298105697E-06,0,0,0,0.00199521066470033,4.72378810799744E-08,2.39179163159098E-09,1.71964753948245E-11,5.39277659112841E-08,4.98851207811953E-13,5.3122897528373E-08,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_pinky.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://D5_right_hands_tips/meshes/fingertip_pinky.STL,,04_tip_pinky-1,Origin_pinky_joint_3,Axis_fingertip_pinky_fixed,fingertip_pinky_fixed,fixed,-0.0267000010157146,0.00104999545263939,0,0,0,0,tipmount_pinky,0,0,0,,,,,,,,,,,,
